Item,Price,Link
Flyback Transformer,$13,https://www.amazon.com/15KV-20KV-Frequency-Generator-Inverter-Ignition/dp/B0D9M1P1CF
Rectifier Tube,$0,Already Owned
Charging/12V Boost,$10,https://www.amazon.com/Lithium-Battery-Charger-Booster-Converter/dp/B0D4TS6MPC/r
18650 Cells+Shipping,$13,https://batteryhookup.com/products/4-18650-2200mah-cells-in-modem-batteries?variant=31785110175876
Iron Chain,$7,https://www.amazon.com/Pandahall-Necklace-Jewelry-Accessories-Making-3x2-2x0-6mm/dp/B01HGF7RH0
Taxes,~$5,
Total,$48,
